Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033119,1998,12,234.2,Y
IDCJAC0001,033119,1999,01,219.8,Y
IDCJAC0001,033119,1999,02,307.4,Y
IDCJAC0001,033119,1999,03,394.2,Y
IDCJAC0001,033119,1999,04,238.8,Y
IDCJAC0001,033119,1999,05,58.0,Y
IDCJAC0001,033119,1999,06,32.4,Y
IDCJAC0001,033119,1999,07,23.4,Y
IDCJAC0001,033119,1999,08,12.8,Y
IDCJAC0001,033119,1999,09,29.4,Y
IDCJAC0001,033119,1999,10,1.4,Y
IDCJAC0001,033119,1999,11,132.0,Y
IDCJAC0001,033119,1999,12,226.6,Y
IDCJAC0001,033119,2000,01,106.8,Y
IDCJAC0001,033119,2000,02,773.0,Y
IDCJAC0001,033119,2000,03,38.2,Y
IDCJAC0001,033119,2000,04,418.8,Y
IDCJAC0001,033119,2000,05,93.0,Y
IDCJAC0001,033119,2000,06,69.0,Y
IDCJAC0001,033119,2000,07,7.2,Y
IDCJAC0001,033119,2000,08,40.2,Y
IDCJAC0001,033119,2000,09,0.8,Y
IDCJAC0001,033119,2000,10,110.8,Y
IDCJAC0001,033119,2000,11,503.0,Y
IDCJAC0001,033119,2000,12,275.0,Y
IDCJAC0001,033119,2001,01,203.8,Y
IDCJAC0001,033119,2001,02,146.4,Y
IDCJAC0001,033119,2001,03,96.6,Y
IDCJAC0001,033119,2001,04,167.0,Y
IDCJAC0001,033119,2001,05,28.4,Y
IDCJAC0001,033119,2001,07,11.2,Y
IDCJAC0001,033119,2001,08,2.4,Y
IDCJAC0001,033119,2001,09,31.2,Y
IDCJAC0001,033119,2001,10,5.0,Y
IDCJAC0001,033119,2001,11,54.6,Y
IDCJAC0001,033119,2001,12,101.8,Y
IDCJAC0001,033119,2002,01,462.8,Y
IDCJAC0001,033119,2002,02,166.6,Y
IDCJAC0001,033119,2002,03,40.2,Y
IDCJAC0001,033119,2002,04,76.6,Y
IDCJAC0001,033119,2002,05,127.8,Y
IDCJAC0001,033119,2002,06,77.8,Y
IDCJAC0001,033119,2002,07,5.4,Y
IDCJAC0001,033119,2002,08,23.2,Y
IDCJAC0001,033119,2002,09,12.2,Y
IDCJAC0001,033119,2002,10,5.0,Y
IDCJAC0001,033119,2002,12,30.2,Y
IDCJAC0001,033119,2003,01,29.6,Y
IDCJAC0001,033119,2003,02,504.4,Y
IDCJAC0001,033119,2003,03,217.4,Y
IDCJAC0001,033119,2003,04,53.0,Y
IDCJAC0001,033119,2003,05,88.6,Y
IDCJAC0001,033119,2003,06,137.0,Y
IDCJAC0001,033119,2003,07,24.2,Y
IDCJAC0001,033119,2003,08,18.8,Y
IDCJAC0001,033119,2003,09,0.2,Y
IDCJAC0001,033119,2003,10,19.2,Y
IDCJAC0001,033119,2003,11,15.2,Y
IDCJAC0001,033119,2003,12,119.0,Y
IDCJAC0001,033119,2004,01,150.8,Y
IDCJAC0001,033119,2004,02,184.2,Y
IDCJAC0001,033119,2004,03,75.4,Y
IDCJAC0001,033119,2004,04,109.8,Y
IDCJAC0001,033119,2004,05,25.0,Y
IDCJAC0001,033119,2004,06,14.8,Y
IDCJAC0001,033119,2004,07,9.2,Y
IDCJAC0001,033119,2004,08,9.2,Y
IDCJAC0001,033119,2004,09,5.6,Y
IDCJAC0001,033119,2004,10,50.4,Y
IDCJAC0001,033119,2004,11,107.0,Y
IDCJAC0001,033119,2004,12,117.8,Y
IDCJAC0001,033119,2005,01,385.2,Y
IDCJAC0001,033119,2005,02,40.8,Y
IDCJAC0001,033119,2005,03,64.2,Y
IDCJAC0001,033119,2005,04,147.0,Y
IDCJAC0001,033119,2005,05,154.6,Y
IDCJAC0001,033119,2005,06,50.2,Y
IDCJAC0001,033119,2005,07,63.2,Y
IDCJAC0001,033119,2005,08,46.0,Y
IDCJAC0001,033119,2005,09,1.2,Y
IDCJAC0001,033119,2005,10,77.6,Y
IDCJAC0001,033119,2005,11,15.6,Y
IDCJAC0001,033119,2005,12,0.0,Y
IDCJAC0001,033119,2006,01,227.4,Y
IDCJAC0001,033119,2006,02,97.8,Y
IDCJAC0001,033119,2006,03,306.0,Y
IDCJAC0001,033119,2006,04,195.0,Y
IDCJAC0001,033119,2006,05,109.4,Y
IDCJAC0001,033119,2006,06,97.8,Y
IDCJAC0001,033119,2006,07,38.0,Y
IDCJAC0001,033119,2006,08,12.0,Y
IDCJAC0001,033119,2006,09,38.0,Y
IDCJAC0001,033119,2006,10,13.0,Y
IDCJAC0001,033119,2006,11,24.8,Y
IDCJAC0001,033119,2006,12,95.4,Y
IDCJAC0001,033119,2007,01,273.6,Y
IDCJAC0001,033119,2007,02,620.6,Y
IDCJAC0001,033119,2007,03,135.6,Y
IDCJAC0001,033119,2007,04,94.8,Y
IDCJAC0001,033119,2007,05,165.0,Y
IDCJAC0001,033119,2007,06,232.4,Y
IDCJAC0001,033119,2007,07,0.0,Y
