Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,88023,2014,01,13.4,Y
IDCJAC0004,88023,2014,02,12.6,Y
IDCJAC0004,88023,2014,03,11.2,Y
IDCJAC0004,88023,2014,04,9.3,Y
IDCJAC0004,88023,2014,05,8.0,Y
IDCJAC0004,88023,2014,06,6.0,Y
IDCJAC0004,88023,2014,07,4.7,Y
IDCJAC0004,88023,2014,08,2.8,Y
IDCJAC0004,88023,2014,09,5.3,Y
IDCJAC0004,88023,2014,10,8.0,Y
IDCJAC0004,88023,2014,11,9.4,Y
IDCJAC0004,88023,2014,12,11.7,Y
IDCJAC0004,88023,2015,01,13.5,Y
IDCJAC0004,88023,2015,02,14.1,Y
IDCJAC0004,88023,2015,03,9.2,Y
IDCJAC0004,88023,2015,04,7.2,Y
IDCJAC0004,88023,2015,05,5.7,Y
IDCJAC0004,88023,2015,06,2.9,Y
IDCJAC0004,88023,2015,07,3.6,Y
IDCJAC0004,88023,2015,08,4.3,Y
IDCJAC0004,88023,2015,09,4.3,Y
IDCJAC0004,88023,2015,10,9.4,Y
IDCJAC0004,88023,2015,11,9.7,Y
IDCJAC0004,88023,2015,12,13.2,Y
IDCJAC0004,88023,2016,01,14.5,Y
IDCJAC0004,88023,2016,02,12.6,Y
IDCJAC0004,88023,2016,03,13.1,Y
IDCJAC0004,88023,2016,04,8.8,Y
IDCJAC0004,88023,2016,05,7.8,Y
IDCJAC0004,88023,2016,06,5.2,Y
IDCJAC0004,88023,2016,07,5.8,Y
IDCJAC0004,88023,2016,08,4.6,Y
IDCJAC0004,88023,2016,09,7.5,Y
IDCJAC0004,88023,2016,10,6.9,Y
IDCJAC0004,88023,2016,11,9.2,Y
IDCJAC0004,88023,2016,12,12.4,Y
IDCJAC0004,88023,2017,01,13.0,Y
IDCJAC0004,88023,2017,02,12.0,Y
IDCJAC0004,88023,2017,03,12.9,Y
IDCJAC0004,88023,2017,04,7.7,Y
IDCJAC0004,88023,2017,05,5.5,Y
IDCJAC0004,88023,2017,06,2.9,Y
IDCJAC0004,88023,2017,07,3.4,Y
IDCJAC0004,88023,2017,08,3.9,Y
IDCJAC0004,88023,2017,09,5.5,Y
